Antigen,Clone,Vendor
CD4,SK3,BioLegend
CD8,SK1,BioLegend
CD45RO,UCHL1,BioLegend
CD45RA,HI100,BioLegend
CCR7,G043H7,BioLegend
CD62L,DREG-56,BioLegend
HLA-DR,L243,BioLegend
CD38,HB-7,BioLegend
CD69,FN50,BioLegend
4-1BB,4B4–1,BioLegend
