Antibody,HGNC_SYMBOL,Clone,Oligo_ID,Panel,Vendor,Cat_Number,RRID
CD22,CD22,HIB22,AHS0195,197 ab,BD Biosciences,940273,AB_2876151
CD223,LAG3,T47-530,AHS0018,197 ab,BD Biosciences,940080,AB_2875971
CD226,CD226,DX11,AHS0079,197 ab,BD Biosciences,940075,AB_2875966
CD23,FCER2,EBVCS-5,AHS0210,197 ab,BD Biosciences,940288,AB_2876165
CD235a,GYPA_GYPB,GA-R2,AHS0048,197 ab,BD Biosciences,940040,AB_2875931
CD24,CD24,ML5,AHS0042,197 ab,BD Biosciences,940028,AB_2875919
CD244,CD244,2-69,AHS0131,197 ab,BD Biosciences,940362,AB_2876232
CD248,CD248,B1/35,AHS0156,197 ab,BD Biosciences,940242,AB_2876123
CD25,IL2RA,2A3,AHS0026,197 ab,BD Biosciences,940009,AB_2875900
CD26,DPP4,M-A261,AHS0109,197 ab,BD Biosciences,940101,AB_2875992
CD267,TNFRSF13B,1A1-K21-M22,AHS0207,197 ab,BD Biosciences,940285,AB_2876162
CD268,TNFRSF13C,11C1,AHS0206,197 ab,BD Biosciences,940284,AB_2876161
CD27,CD27,M-T271,AHS0025,197 ab,BD Biosciences,940018,AB_2875909
CD270,TNFRSF14,CW10,AHS0105,197 ab,BD Biosciences,940097,AB_2875988
CD272,BTLA,J168-540,AHS0052,197 ab,BD Biosciences,940105,AB_2875995
CD273,PDCD1LG2,MIH18,AHS0075,197 ab,BD Biosciences,940071,AB_2875962
CD274,CD274,MIH1,AHS0004,197 ab,BD Biosciences,940035,AB_2875926
CD275,ICOSLG,2D3/B7-H2,AHS0011,197 ab,BD Biosciences,940091,AB_2875982
CD276,CD276,7-517,AHS0255,197 ab,BD Biosciences,940378,AB_2876246
CD278,ICOS,DX29,AHS0012,197 ab,BD Biosciences,940043,AB_2875934
CD279,PDCD1,EH12.1,AHS0014,197 ab,BD Biosciences,940015,AB_2875906
CD28,CD28,CD28.2,AHS0024,197 ab,BD Biosciences,940017,AB_2875908
CD282,TLR2,11G7,AHS0174,197 ab,BD Biosciences,940366,AB_2876236
CD29,ITGB1,MAR4,AHS0080,197 ab,BD Biosciences,940076,AB_2875967
CD294,PTGDR2,BM16,AHS0106,197 ab,BD Biosciences,940098,AB_2875989
CD3,CD3E,SK7,AHS0033,197 ab,BD Biosciences,940000,AB_2875891
CD30,TNFRSF8,BerH8,AHS0114,197 ab,BD Biosciences,940103,AB_2875994
CD303,CLEC4C,V24-785,AHS0204,197 ab,BD Biosciences,940282,AB_2876159
CD31,PECAM1,WM59,AHS0170,197 ab,BD Biosciences,940254,AB_2876135
CD314,KLRK1,1D11,AHS0065,197 ab,BD Biosciences,940061,AB_2875952
CD32,FCGR2A_B_C,FLI8.26,AHS0073,197 ab,BD Biosciences,940069,AB_2875960
CD324,CDH1,67A4,AHS0041,197 ab,BD Biosciences,940210,AB_2876092
CD325,CDH2,8C11,AHS0223,197 ab,BD Biosciences,940300,AB_2876177
CD326,EPCAM,EBA-1,AHS0089,197 ab,BD Biosciences,940084,AB_2875975
CD329,SIGLEC9,E10-286,AHS0239,197 ab,BD Biosciences,940312,AB_2876187
CD33,CD33,WM53,AHS0044,197 ab,BD Biosciences,940031,AB_2875922
CD335,NCR1,9E2/NKp46,AHS0068,197 ab,BD Biosciences,940064,AB_2875955
CD336,NCR2,p44-8,AHS0090,197 ab,BD Biosciences,940085,AB_2875976
CD337,NCR3,p30-15,AHS0213,197 ab,BD Biosciences,940291,AB_2876168
CD338,ABCG2,5D3/CD338,AHS0172,197 ab,BD Biosciences,940256,AB_2876137
CD34,CD34,581,AHS0061,197 ab,BD Biosciences,940021,AB_2875912
CD340,ERBB2,24D2,AHS0243,197 ab,BD Biosciences,940372,AB_2876241
CD35,CR1,E11,AHS0162,197 ab,BD Biosciences,940248,AB_2876129
CD357,TNFRSF18,V27-580,AHS0104,197 ab,BD Biosciences,940096,AB_2875987
CD36,CD36,CLB-IVC7,AHS0135,197 ab,BD Biosciences,940224,AB_2876105
CD371,CLEC12A,50C1,AHS0097,197 ab,BD Biosciences,940212,AB_2876094
CD38,CD38,HIT2,AHS0022,197 ab,BD Biosciences,940013,AB_2875904
CD39,ENTPD1,TU66,AHS0006,197 ab,BD Biosciences,940073,AB_2875964
CD4,CD4,SK3,AHS0032,197 ab,BD Biosciences,940001,AB_2875892
CD40,CD40,5C3,AHS0117,197 ab,BD Biosciences,940049,AB_2875940
CD41,ITGA2B,HIP8,AHS0128,197 ab,BD Biosciences,940219,AB_2876101
CD42b,GP1BA,HIP1,AHS0186,197 ab,BD Biosciences,940268,AB_2876147
CD43,SPN,1G10,AHS0200,197 ab,BD Biosciences,940278,AB_2876156
CD45,PTPRC,HI30,AHS0040,197 ab,BD Biosciences,940002,AB_2875893
CD45RA,PTPRC,HI100,AHS0009,197 ab,BD Biosciences,940011,AB_2875902
CD45RO,PTPRC,UCHL1,AHS0036,197 ab,BD Biosciences,940022,AB_2875913
CD46,CD46,E4.3,AHS0071,197 ab,BD Biosciences,940211,AB_2876093
CD47,CD47,B6H12,AHS0087,197 ab,BD Biosciences,940082,AB_2875973
CD49a,ITGA1,SR84,AHS0101,197 ab,BD Biosciences,940094,AB_2875985
CD49b,ITGA2,12F1,AHS0093,197 ab,BD Biosciences,940087,AB_2875978
CD49d,ITGA4,9F10,AHS0063,197 ab,BD Biosciences,940059,AB_2875950
CD49E,ITGA5,IIA1,AHS0118,197 ab,BD Biosciences,940106,AB_2875996
CD49f,ITGA6,GoH3,AHS0119,197 ab,BD Biosciences,940160,AB_2876048
CD5,CD5,UCHT2,AHS0047,197 ab,BD Biosciences,940038,AB_2875929
CD54,ICAM1,HA58,AHS0076,197 ab,BD Biosciences,940072,AB_2875963
CD56,NCAM1,NCAM16.2,AHS0019,197 ab,BD Biosciences,940007,AB_2875898
CD58,CD58,1C3,AHS0237,197 ab,BD Biosciences,940371,AB_2876240
CD59,CD59,p282 (H19),AHS0224,197 ab,BD Biosciences,940301,AB_2876178
CD61,ITGB3,VI-PL2,AHS0069,197 ab,BD Biosciences,940065,AB_2875956
CD62E,SELE,68-5H11,AHS0254,197 ab,BD Biosciences,940377,AB_2876245
CD62L,SELL,DREG-56,AHS0049,197 ab,BD Biosciences,940041,AB_2875932
CD62P,SELP,AC1.2,AHS0234,197 ab,BD Biosciences,940309,AB_2876185
CD63,CD63,H5C6,AHS0157,197 ab,BD Biosciences,940243,AB_2876124
CD66,CEACAM1_3_5_6,B1.1/CD66,AHS0094,197 ab,BD Biosciences,940088,AB_2875979
CD69,CD69,FN50,AHS0010,197 ab,BD Biosciences,940019,AB_2875910
CD7,CD7,M-T701,AHS0043,197 ab,BD Biosciences,940029,AB_2875920
CD71,TFRC,L01.1,AHS0197,197 ab,BD Biosciences,940275,AB_2876153
CD72,CD72,J4-117,AHS0215,197 ab,BD Biosciences,940293,AB_2876170
CD73,NT5E,AD2,AHS0216,197 ab,BD Biosciences,940294,AB_2876171
CD79b,CD79B,CB3-1,AHS0153,197 ab,BD Biosciences,940239,AB_2876120
CD8,CD8A,RPA-T8,AHS0027,197 ab,BD Biosciences,940003,AB_2875894
CD80,CD80,L307.4,AHS0046,197 ab,BD Biosciences,940036,AB_2875927
CD81,CD81,JS-81,AHS0021,197 ab,BD Biosciences,940052,AB_2875943
CD83,CD83,HB15e,AHS0084,197 ab,BD Biosciences,940054,AB_2875945
CD85g,LILRA4,17G10.2,AHS0168,197 ab,BD Biosciences,940252,AB_2876133
CD85j,LILRB1,GHI/75,AHS0163,197 ab,BD Biosciences,940249,AB_2876130
CD85k,LILRB4,ZM3.8,AHS0179,197 ab,BD Biosciences,940261,AB_2876140
CD86,CD86,2331 (FUN-1),AHS0057,197 ab,BD Biosciences,940025,AB_2875916
CD89,FCAR,A59,AHS0199,197 ab,BD Biosciences,940277,AB_2876155
CD8b,CD8B,2ST8.5H7,AHS0145,197 ab,BD Biosciences,940231,AB_2876112
CD9,CD9,M-L13,AHS0082,197 ab,BD Biosciences,940078,AB_2875969
CD90,THY1,5E10,AHS0045,197 ab,BD Biosciences,940032,AB_2875923
CD93,CD93,R139,AHS0124,197 ab,BD Biosciences,940215,AB_2876097
CD94,KLRD1,HP-3D9,AHS0085,197 ab,BD Biosciences,940081,AB_2875972
CD95,FAS,DX2,AHS0023,197 ab,BD Biosciences,940037,AB_2875928
CD96,CD96,6F9,AHS0194,197 ab,BD Biosciences,940272,AB_2876150
CD98,SLC3A2,UM7F8,AHS0100,197 ab,BD Biosciences,940093,AB_2875984
CD99,CD99,TÜ12,AHS0123,197 ab,BD Biosciences,940214,AB_2876096
CX3CR1,CX3CR1,2A9-1,AHS0125,197 ab,BD Biosciences,940216,AB_2876098
CXCR2,CXCR2,6C6,AHS0154,197 ab,BD Biosciences,940240,AB_2876121
CXCR6,CXCR6,13B 1E5,AHS0148,197 ab,BD Biosciences,940234,AB_2876115
EGFR,EGFR,EGFR.1,AHS0241,197 ab,BD Biosciences,940313,AB_2876188
EPHB2,EPHB2,2H9,AHS0176,197 ab,BD Biosciences,940259,AB_2876139
FCER1A,FCER1A,AER-37,AHS0129,197 ab,BD Biosciences,940220,AB_2876102
